name,intro,Mean VMag,Period,ra,dej2000,distance,BP-RP,type,light curve,link
ASASSN-V J135557.20-724154.2,,12.375,7.4272,208.988,-72.69847,473,1.551,rotational variable,v,https://asas-sn.osu.edu/variables/f4aa03b0-b5ba-574f-9731-53bfd069c004
ASASSN-V J154517.86-531810.1,V0491 Nor,11.42,5.2748578,236.32442,-53.30281,357,1.579,rotational variable,v,https://asas-sn.osu.edu/variables/3a86c6e3-d958-514e-85e1-2279f8dd5830
ASASSN-V J223207.82+531422.0,,14.27,0.1671948,338.03259,53.23944,5238,1.775,delta scuti,v,https://asas-sn.osu.edu/variables/bac60f1b-459a-5674-9998-b732f7af037d
ASASSN-V J203440.48+543604.8,,13.93,0.1658976,308.66865,54.60133,7221,1.715,delta scuti,v,https://asas-sn.osu.edu/variables/efc190e0-48b3-50a3-b7d0-fbb47a3a0512
ASASSN-V J100211.71-192537.4,,17.38,0.4563554,150.54879,-19.42706,841,-0.172,Cepheids,v,https://asas-sn.osu.edu/variables/777a6138-dec3-5222-a9e4-f5d829c01a2c
ASASSN-V J155412.38+272153.1,,17.02,0.9983271,238.55158,27.36476,200,1.108,Cepheids,v,https://asas-sn.osu.edu/variables/1af16597-0587-535d-b2c5-47ee0e21a1ee
ASASSN-V J090133.60-354954.3,,13.03,346.8228029,135.38998,-35.83174,4771,3.158,mira variable,v,https://asas-sn.osu.edu/variables/a81c1a65-877b-5f2a-a036-ef83c29b71e8
ASASSN-V J115040.18-674955.1,NSV 5361,14.78,322.5324854,177.66743,-67.83197,5982,5.396,mira variable,v,https://asas-sn.osu.edu/variables/82887d41-1742-5a59-a08f-f1f061160095
ASASSN-V J175417.75-295855.4,OGLE bul_sc4_i_41028,11.53,2.8615736,268.57397,-29.98206,4170,0.969,Eclipsing binary stars,v,https://asas-sn.osu.edu/variables/12f621a7-e8f4-52c7-9fc0-c5dbce2d734a
ASASSN-V J153506.24-581535.9,GDS_J1535063-581536,13.36,0.4020698,233.77599,-58.25997,960,1.855,Eclipsing binary stars,v,https://asas-sn.osu.edu/variables/de995183-fb10-5428-b62d-b8b8be934644
ASASSN-V J155300.05-524042.7,GDS_J1553005-524042,15.74,0.2763552,238.2502,-52.67854,1625,1.519,rr lyrae,v,https://asas-sn.osu.edu/variables/eac703c5-9141-517f-ad08-b5e92063941a
ASASSN-V J144415.52-615953.2,GDS_J1444155-615953,11.7,0.5507065,221.06468,-61.99811,3051,0.683,rr lyrae,v,https://asas-sn.osu.edu/variables/90ef9d63-fa76-5133-89c1-44cec5a3ebc3
ASASSN-V J131317.05-325912.5,V1043 Cen,15.55,590.9198042,198.32103,-32.9868,173,1.503,r coronae borealis variables,v,https://asas-sn.osu.edu/variables/1d2804a0-584e-5b0f-b6d5-59ef562c965a
ASASSN-V J085414.02+390537.1,FR Lyn,17.08,8.2154683,133.55842,39.09363,479,0.166,r coronae borealis variables,v,https://asas-sn.osu.edu/variables/32db528c-e6c4-52b0-b121-24c543f5713e
ASASSN-V J100734.63-201732.4,RX J1007.5-2017,17.38,0.6604994,151.8943,-20.29232,716,1.05,cataclysmic variables,v,https://asas-sn.osu.edu/variables/d8326e0f-01e5-5af0-9781-ef58c97ffd7d
ASASSN-V J215732.41+085513.7,V0388 Peg,17.49,4.8400313,329.38504,8.92048,705,0.996,cataclysmic variables,v,https://asas-sn.osu.edu/variables/6d829d8b-9ced-5d05-8b37-5f70ed12dcb6
ASASSN-V J061347.16-235423.1,,12.95,7.771531,93.44652,-23.90641,17,2.776,flare stars,v,https://asas-sn.osu.edu/variables/9b5630cc-18da-5e56-90be-81e23f442d6c
ASASSN-V J114122.82-641014.7,V1033 Cen ,14.82,274.5545656,175.3451,-64.17076,265,1.925,flare stars,v,https://asas-sn.osu.edu/variables/a3f199c5-8597-5e41-86c4-b528145326ca
ASASSN-V J105135.18+540436.2,EK UMa,17.79,0.1757263,162.89658,54.07672,751,0.16,pulsating white darwfs,v,https://asas-sn.osu.edu/variables/b0df8209-9975-51f8-9800-7be15e439cb7
ASASSN-V J142438.93-022739.3,,17.96,0.2199411,216.16221,-2.46092,430,1.063,pulsating white darwfs,v,https://asas-sn.osu.edu/variables/b6f89449-a0dd-5e42-9c11-636feeff89aa